id,relationship_id,heading,meaning
1,1,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ท่านเป็นผู้โชคดีในชีวิต ไม่มียากจนขัดสนเลย บริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์สร้างความมั่นคงให้ท่าน ชะตาท่านตกอยู่ในที่ผู้หลักผู้ใหญ่ จะได้เป็นที่สนิทของผู้หลักผู้ใหญ่ มีที่อยู่กินมั่นคงเป็นผู้มีวิถีชีวิตที่แน่นอนไปในทางดี มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
2,1,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ หน้าที่การงาน (กัมมะ)","ท่านจะมีโชคในเรื่องประกอบอาชีพ ลงทุนแล้วคุ้มค่า ได้เงินเพราะการงานที่ท่านทำเต็มเม็ดเต็มหน่วย ถ้าค้าขายจะยิ่งมีโชคดีเพราะการขายจะมีผลกำไร อย่างยิ่ง จะทำให้ท่านได้รับความสุขจากเงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์ ที่ได้มา ท่านรู้จักการประกอบการทำมาหากินถูกกับชะตาชีวิตของท่าน ทำให้มีความสุขในชีวิตการงานการเงิน"
3,1,"รายได้รายจ่าย (กดุมภะ) สัมพันธ์กับ หน้าที่การงาน (กัมมะ)","ท่านมีสติปัญญาดีเป็นคนที่มีความรู้ ความสามารถดียิ่ง ที่รู้จักหลักของการประกอบอาชีพ จะเป็นผู้ที่ได้รับผลของการงานที่ทำนั้น ท่านมีความมานะอดทน ตั้งหน้าทำมาหากินอย่างไม่เห็นแก่เหน็ดเหนื่อย และท่านมักจะเป็นคนมีโชคดีในเรื่องการของการซื้อขายเสมอ ค้าขายดี เป็นคนที่หากินแต่ในทางที่ซื่อสัตย์และสุจริต เป็นคนใจเย็น รู้จักผ่อนยาว เป็นคนที่มีความเมตตาสงสารต่อผู้ที่ต่ำตอยกว่าตน โดยให้ความช่วยเหลือในสิ่งที่ไม่เหลือบ่ากว่าแรง"
4,4,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ท่านเป็นผู้โชคดีในชีวิต ไม่มียากจนขัดสนเลย บริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์สร้างความมั่นคงให้ท่าน ชะตาท่านตกอยู่ในที่ผู้หลักผู้ใหญ่ จะได้เป็นที่สนิทของผู้หลักผู้ใหญ่ มีที่อยู่กินมั่นคงเป็นผู้มีวิถีชีวิตที่แน่นอนไปในทางดี มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
5,4,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ เหน็จเหนื่อยเพื่อคนอื่น ส่วนรวม (ทาสา)","ท่านจะมีลูกน้องบริวารใช้สอย นำเอาความสำเร็จมาสู่ท่าน คือเป็นคนที่มีดวงชะตาชีวิต เป็นคนมีอำนาจแก่ลูกน้องบริวาร หรือหมู่คนที่อยู่ในความปกครองของท่าน ไม่ว่าจะใช้สอยหรือรับไหว้วานไปแล้วนั้น ๆ ก็จะนำความสำเร็จมาเสมอ เป็นคนที่มีอำนาจอยู่ในตัว มักจะได้รับเลือกเป็นหัวหน้า จัดเป็นคนที่มีเกณฑ์ชะตาชีวิตที่ดี แต่ท่านจะเหน็ดเหนื่อยในการหาทรัพย์ เพื่อผู้อื่น หรือสังคม"
6,4,"รายได้รายจ่าย (กดุมภะ) สัมพันธ์กับ เหน็จเหนื่อยเพื่อคนอื่น ส่วนรวม (ทาสา)","ท่านจะใช้หรือไห้ววานผู้ใดผู้หนึ่ง ทำกิจการงานใด ๆ เขาก็มักจะเรียกค่าจ้างและรางวัลก่อนเสมอ ก็เพราะเขาหวังประโยชน์อย่างใดอย่างหนึ่ง จึงได้มาคบหากับท่าน ไม่มีผู้ที่จะคบหากับผู้นั้นด้วยความบริสุทธิ์ใจเลย ถึงท่านจะให้ความช่วยเหลือเลี้ยงดู ต่อผู้ที่ได้เข้ามาอยู่ในความปกครองของท่านสักเท่าไรก็ตาม เขาก็ไม่ได้มีความจงรักภักดีต่อท่าน โดยความบริสุทธิ์ใจ เมื่อท่านอับจนหรือตกต่ำลงไปเวลาใดเขาเหล่านั้นก็จะพากันปลีกตัวหนีจากท่านหมด โดยมิได้มีความห่วงใยและนึกถึงบุญคุณของท่านเลย ท่านทำคุณแก่คนไม่ขึ้น"
7,7,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ท่านเป็นผู้โชคดีในชีวิต ไม่มียากจนขัดสนเลย บริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์สร้างความมั่นคงให้ท่าน ชะตาท่านตกอยู่ในที่ผู้หลักผู้ใหญ่ จะได้เป็นที่สนิทของผู้หลักผู้ใหญ่ มีที่อยู่กินมั่นคงเป็นผู้มีวิถีชีวิตที่แน่นอนไปในทางดี มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
8,7,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ การเหน็จเหนื่อยเพื่อตัวเอง (ทาสี)","ท่านจะมีลูกน้องบริวารใช้สอย นำเอาความสำเร็จมาสู่ท่าน คือเป็นคนที่มีดวงชะตาชีวิต เป็นคนมีอำนาจแก่ลูกน้องบริวาร หรือหมู่คนที่อยู่ในความปกครองของท่าน ไม่ว่าจะใช้สอยหรือรับไหว้วานไปแล้วนั้น ๆ ก็จะนำความสำเร็จมาเสมอ เป็นคนที่มีอำนาจอยู่ในตัว มักจะได้รับเลือกเป็นหัวหน้า จัดเป็นคนที่มีเกณฑ์ชะตาชีวิตที่ดี แต่ท่านจะเหน็ดเหนื่อยในการหาทรัพย์ เก็บรักษาทรัพย์ไม่ค่อยได้"
9,7,"รายได้รายจ่าย (กดุมภะ) สัมพันธ์กับ การเหน็จเหนื่อยเพื่อตัวเอง (ทาสี)","ท่านจะใช้หรือไห้ววานผู้ใดผู้หนึ่ง ทำกิจการงานใด ๆ เขาก็มักจะเรียกค่าจ้างและรางวัลก่อนเสมอ ก็เพราะเขาหวังประโยชน์อย่างใดอย่างหนึ่ง จึงได้มาคบหากับท่าน ไม่มีผู้ที่จะคบหากับผู้นั้นด้วยความบริสุทธิ์ใจเลย ถึงท่านจะให้ความช่วยเหลือเลี้ยงดู ต่อผู้ที่ได้เข้ามาอยู่ในความปกครองของท่านสักเท่าไรก็ตาม เขาก็ไม่ได้มีความจงรักภักดีต่อท่าน โดยความบริสุทธิ์ใจ เมื่อท่านอับจนหรือตกต่ำลงไปเวลาใดเขาเหล่านั้นก็จะพากันปลีกตัวหนีจากท่านหมด โดยมิได้มีความห่วงใยและนึกถึงบุญคุณของท่านเลย ท่านทำคุณแก่คนไม่ขึ้น"
10,10,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ท่านเป็นผู้โชคดีในชีวิต ไม่มียากจนขัดสนเลย บริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์สร้างความมั่นคงให้ท่าน ชะตาท่านตกอยู่ในที่ผู้หลักผู้ใหญ่ จะได้เป็นที่สนิทของผู้หลักผู้ใหญ่ มีที่อยู่กินมั่นคงเป็นผู้มีวิถีชีวิตที่แน่นอนไปในทางดี มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
11,10,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ สิ่งไม่ดี เรื่องปิดบัง ซ่อนเร้น (พยายะ)","ท่านจะมีปัญหาเรื่องเงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์บ่อย แม้จะลงทุนทำการค้าขายต่าง ๆ ก็มักจะผิดหวังขาดทุน   , ต้องล้มเลิกไป ท่านไม่ใคร่จะได้รับความราบรื่นในชีวิต หาทรัพย์ได้ยาก มีเพียงพอมีพอกินเท่านั้น , ท่านมีชะตาพอปานกลาง ไม่ถึงกับอุดมสมบูรณ์ หรือถึงกับตกทุกข์ได้ยาก , หรือท่านมีเงินเก็บที่ปิดบังซ่อนเร้นไว้ไม่ให้ใครรู้"
12,10,"รายได้รายจ่าย (กดุมภะ) สัมพันธ์กับ สิ่งไม่ดี เรื่องปิดบัง ซ่อนเร้น (พยายะ)","ท่านไม่ค่อยมีโชคทางการเงิน ถึงแม้ว่าจะเป็นคนที่ได้รับทรัพย์สินมรดก สิ่งของนั้น ๆ มักจะมีตำหนิและได้โดยไม่เต็มเม็ดเต็มหน่วย มักจะมีผู้คอยตัดรอนหรือเอาเปรียบไปเสีย  ทรัพย์สินที่ท่านมีอยู่นั้นต้องหมดไป  ไม่มีบุญวาสนาที่จะให้ครอบครอง ทรัพย์สินเงินทองนั้น ๆ ไว้ได้และเป็นคนสุรุ่ยสุร่ายในเรื่องการเงิน การทอง เมื่อถึงคราวมั่งมีก็จะใช้จ่ายอย่าไม่กลัวหมดกลัวเปลืองเลย ต่อเมื่อหมดแล้ว จึงจะกลับคิดได้ ชะตาชีวิตของท่าน เป็นชะตาชีวิตที่จะรักษาสิ่งใดไว้ไม่ได้ตลอดไป มักจะมีอันเป็นไปโดยที่ไม่ได้นึกฝันเลย , ความผิดหวังด้านทรัพย์สิน , การยึดคืน"
13,13,"เรื่องเงิน ๆ ทอง ๆ  (ธานัง) สัมพันธ์กับ รายได้รายจ่าย (กดุมภะ)","ท่านเป็นผู้โชคดีในชีวิต ไม่มียากจนขัดสนเลย บริบูรณ์ด้วยทรัพย์สินมรดกตกทอด  เงินทอง ทรัพย์สิน ที่ดิน ธุรกิจ ผลประโยชน์สร้างความมั่นคงให้ท่าน ชะตาท่านตกอยู่ในที่ผู้หลักผู้ใหญ่ จะได้เป็นที่สนิทของผู้หลักผู้ใหญ่ มีที่อยู่กินมั่นคงเป็นผู้มีวิถีชีวิตที่แน่นอนไปในทางดี มีช่องทางหรือโอกาสให้ได้มาซึ่ง เงินๆ ทองๆ  ทรัพย์สิน ที่ดิน ธุรกิจเสมอๆ"
